mac_id,Reason
bc:4c:c4:df:a9:16,Anomaly based on location
4c:57:ca:84:bb:3c,Anomaly based on location
bc:4c:c4:df:a9:45,Anomaly based on location
bc:4c:c4:df:a9:46,Anomaly based on location
bc:4c:c4:df:a9:63,Anomaly based on location
bc:4c:c4:df:a9:71,Anomaly based on location
bc:4c:c4:df:a9:72,Anomaly based on location
bc:4c:c4:df:a9:88,Anomaly based on location
bc:4c:c4:df:a9:95,Anomaly based on location
bc:4c:c4:df:a9:96,Anomaly based on location
bc:4c:c4:df:10:17,Anomaly based on location
bc:4c:c4:df:10:60,Anomaly based on location
bc:4c:c4:df:10:65,Anomaly based on location
bc:4c:c4:df:10:66,Anomaly based on location
bc:4c:c4:df:10:91,Anomaly based on location
bc:4c:c4:df:10:133,Anomaly based on location
bc:4c:c4:df:10:139,Anomaly based on location
bc:4c:c4:df:10:148,Anomaly based on location
bc:4c:c4:df:10:149,Anomaly based on location
bc:4c:c4:df:10:150,Anomaly based on location
bc:4c:c4:df:10:151,Anomaly based on location
bc:4c:c4:df:10:154,Anomaly based on location
bc:4c:c4:df:10:159,Anomaly based on location
bc:4c:c4:df:10:181,Anomaly based on location
bc:4c:c4:df:10:183,Anomaly based on location
bc:4c:c4:df:10:195,Anomaly based on location
bc:4c:c4:df:10:198,Anomaly based on location
bc:4c:c4:df:10:207,Anomaly based on location
bc:4c:c4:df:10:212,Anomaly based on location
bc:4c:c4:df:10:223,Anomaly based on location
bc:4c:c4:df:10:234,Anomaly based on location
bc:4c:c4:df:10:258,Anomaly based on location
bc:4c:c4:df:10:276,Anomaly based on location
bc:4c:c4:df:10:279,Anomaly based on location
bc:4c:c4:df:10:282,Anomaly based on location
bc:4c:c4:df:10:321,Anomaly based on location
bc:4c:c4:df:10:332,Anomaly based on location
bc:4c:c4:df:10:337,Anomaly based on location
bc:4c:c4:df:10:354,Anomaly based on location
bc:4c:c4:df:10:359,Anomaly based on location
bc:4c:c4:df:10:364,Anomaly based on location
bc:4c:c4:df:10:368,Anomaly based on location
bc:4c:c4:df:10:375,Anomaly based on location
bc:4c:c4:df:10:377,Anomaly based on location
bc:4c:c4:df:10:381,Anomaly based on location
bc:4c:c4:df:10:389,Anomaly based on location
bc:4c:c4:df:10:390,Anomaly based on location
bc:4c:c4:df:10:391,Anomaly based on location
bc:4c:c4:df:a9:01,Anomaly based on time
bc:4c:c4:df:a9:09,Anomaly based on time
bc:4c:c4:df:a9:37,Anomaly based on time
bc:4c:c4:df:a9:49,Anomaly based on time
bc:4c:c4:df:a9:52,Anomaly based on time
bc:4c:c4:df:a9:56,Anomaly based on time
bc:4c:c4:df:a9:78,Anomaly based on time
bc:4c:c4:df:a9:99,Anomaly based on time
bc:4c:c4:df:10:02,Anomaly based on time
bc:4c:c4:df:10:04,Anomaly based on time
bc:4c:c4:df:10:21,Anomaly based on time
bc:4c:c4:df:10:25,Anomaly based on time
bc:4c:c4:df:10:51,Anomaly based on time
bc:4c:c4:df:10:77,Anomaly based on time
bc:4c:c4:df:10:81,Anomaly based on time
bc:4c:c4:df:10:117,Anomaly based on time
bc:4c:c4:df:10:126,Anomaly based on time
bc:4c:c4:df:10:141,Anomaly based on time
